,Indeed Snippet
789,"Enterprise scale expertise in <b>data</b> analysis & modeling, including demonstrable experience with <b>data</b> management standard methodologies such as <b>data</b> governance,…"
790,Senior <b>Data</b> Architects within the CCB <b>Data</b> Infrastructure focus on <b>Data</b> Management and supporting our Decision <b>Science</b> and Analytics Partners.
791,The <b>Data</b> Privacy team is responsible for secure-by-design and privacy-by-design aspects of <b>data</b> related services including;
792,"Computer / Management Information Systems (MIS/CIS), Computer <b>Science</b> (CS), Electrical/Computer Engineering (EE/CE), or an equivalent combination of related…"
793,Five years performing exploratory <b>Data</b> analysis. Leverages CRM best practices to maximize customer <b>data</b> capture opportunities and optimize <b>data</b> workflows…
794,"A successful candidate should have a background in business analytics, <b>data</b> <b>science</b>, <b>data</b> visualization, and <b>data</b> engineering. Are you inspired by invention?"
795,"Industry leadership in the fields of database, <b>data</b> warehousing or <b>data</b> <b>sciences</b>. These professional services engagements will focus on customer solutions such…"
796,"BS, MS in a field related to <b>Data</b> <b>Science</b>, Computer Engineering, Statistics, Mathematics, or a closely related quantitative is required."
797,Leading development of Big <b>Data</b> Analytics solutions leveraging the latest <b>data</b> analysis techniques (including machine learning) for large quantities of…
798,"Creating Tools & Framework to determine Source Discovery, <b>Data</b> Availability and <b>Data</b> Change Tracking. Create Tools/Framework in Java to Manage Big <b>Data</b> Platform…"
799,"The <b>Data</b> Engineering team will work in collaboration with <b>data</b> analysts and <b>scientists</b>. Main responsibilities include RDBMs and big <b>data</b> infrastructure support,…"
800,"Experience in <b>data</b> modeling, ETL development, and <b>Data</b> warehousing. Experience building/operating highly available, distributed systems of <b>data</b> extraction,…"
801,"Develop and maintain logical and physical <b>data</b> models of the <b>data</b> warehouse and <b>data</b> marts. With minimal direction, analyze, monitor, and troubleshoot data…"
802,"Statistics, <b>data</b> <b>science</b>, and operations research make up the rapidly-growing <b>Data</b> and Decision <b>Sciences</b> (DDS) program within the Department of Mathematics."
803,"Interact with team members including statisticians and <b>data</b> managers to gather requirements and specifications for <b>data</b> analysis, <b>data</b> visualization and report…"
804,Load prepared <b>data</b> into temporary or operational ready <b>data</b> structures. Potential opportunities to enhance the existing models built by the <b>data</b> <b>scientists</b>.
805,"Work with domain experts / Enterprise Architects / <b>Data</b> <b>Scientists</b> to understand needs and constraints of <b>Data</b> Flows, real-time streaming <b>data</b> pipelines for E&P…"
806,"Support various <b>data</b> cleansing and modeling needs of <b>Data</b> <b>Science</b> Lead. Bachelor’s or Master’s in a STEM field (Computer <b>Science</b>, engineering, <b>data</b> science,…"
807,"Bachelors Degree preferred - <b>Data</b> <b>Scientist</b>, <b>Data</b> Analyst, Statistics, Mathematics, Actuarial <b>Science</b>, or similar degree. 3 years of experience preferred."
808,Foundational knowledge of relational <b>data</b> principles. Diligently comply with Coca-Cola <b>data</b> sharing principles by maintaining a complex <b>data</b> security model that…
809,Our Analytics Strategy and Support team is looking to hire an Analytics Translator to bridge the gap between our <b>data</b> <b>scientists</b> and managers.
810,"Extensive knowledge in <b>data</b> ingestion, integration, predictive modelling and <b>data</b> visualization is required. Business Intelligence and <b>Data</b> Warehouse Team Lead."
811,Pursuing a BS/MS in Computer <b>Science</b>. We need some hard-core programming help to help enhance our <b>Data</b> management frameworks used to move <b>data</b> between platforms…
812,Solid database and <b>data</b> analyst skills required. Perform <b>data</b> entry and reconcile any inconsistencies that may appear in databases;
813,"As the Manager of <b>Data</b> Center Infrastructure & Operations, this position provides oversight and management of <b>data</b> center services, including but not limited to…"
814,"Demonstrated industry leadership in the fields of database, <b>data</b> warehousing or <b>data</b> <b>sciences</b>. These professional services engagements will focus on customer…"
815,"BS/BA degree with 5+ years knowledge in computational, predictive or business analytics, computer <b>science</b>, information and <b>data</b> <b>science</b>, or statistics."
816,Familiar with statistics in <b>data</b> <b>science</b> (a little bit <b>data</b> <b>scientist</b> requirement to better understand our projects).
817,"This next generation <b>data</b> platform will include a modern <b>Data</b> Warehouse implementation, inclusive of modern <b>data</b> processing and <b>data</b> persistence technologies."
818,"Proven experience ingesting <b>data</b> from multiple <b>data</b> sources such as REST API, SFTP flat files, Streaming <b>data</b> etc. Ability to handle multiple tasks at a time."
819,"5+ years of experience developing business intelligence solutions, <b>data</b> mining, <b>data</b> modeling, <b>data</b> analytics, <b>data</b> integration, <b>data</b> warehousing, and ETL…"
820,"Our Pacific Northwest branch (Seattle, Portland, and Anchorage) is seeking a <b>scientist</b> or engineer with interest and experience in environmental laboratory data…"
821,"Leads cross functional <b>Data</b> <b>Science</b> teams (Statisticians, Programmers, <b>Data</b> Manager) to plan for and deliver all <b>data</b> deliverables."
822,"<b>Data</b> engineering, <b>data</b> <b>science</b>, and <b>data</b> products - internally and externally; We build awesome <b>data</b> products: Core <b>data</b> products for Intuit:"
823,"Research expertise and scholarly contributions in <b>data</b> <b>science</b> preferred. Currently enrolled and pursing a graduate or doctoral degree in computer science,…"
824,"Thoroughly understanding of how to handle real-time <b>data</b> integration/Real-time <b>data</b> technologies (e.g., Streams, Kinesis, Kafka). PYTHON, SPARK, AWS IS MUST*."
825,"Promotes, coordinates and supports the development of research Project (gathering, collecting and analysis <b>data</b>). Grant application preparation and submission;"
826,<b>Data</b> <b>Scientist</b> to join a team of analytics and machine learning experts. 5+ years of experience with <b>data</b> analytics and statistical modeling.
827,"To qualify for this role, candidates will need to have a minimum of 10 years of significant experience in delivering analytics/reporting solutions including 5…"
828,"Bachelor's degree in Computer <b>Science</b>, Computer Engineering or equivalent & a master's degree in Business Analytics, Statistics, <b>Data</b> Analytics, Information…"
829,Senior <b>Data</b> <b>Scientist</b>- Consumer Product-Tech Lead. 5+ years of <b>Data</b> <b>Science</b> experience or a related field. You define a <b>data</b> <b>science</b> roadmap and execute against…
830,"Five years’ experience in <b>data</b> processing (ETL- collect, parse, analyze, load and manage <b>data</b>) from diverse big <b>data</b> sources and <b>data</b> warehousing."
831,"E.g., <b>data</b> <b>science</b>, <b>data</b> engineering, product, customer success leaders. Experience working closely with <b>data</b> engineers, <b>data</b> <b>science</b>, and product teams to…"
832,"Predictive modeling, decision tree analysis, clustering, <b>data</b> mining, <b>data</b> processing, genetic algorithms, machine learning, active machine learning (optimal…"
833,"<b>Data</b> pipelines, <b>data</b> services, operational <b>data</b> stores, <b>data</b> warehouses, <b>data</b> marts, big <b>data</b> stores, <b>data</b> mining, big <b>data</b> visualization and experiment designs…"
834,"Industry leadership in the fields of database, Analytics or <b>data</b> <b>sciences</b>. Expertise in graph driven <b>data</b> <b>science</b> applications, such as graph based feature…"
835,"We are in search of two self motivated, independent individuals who would like to spend the summer in Jackson Hole Wyoming supporting efforts for a wildfire…"
836,"Collaborate with other analysts, <b>data</b> engineers, and <b>data</b> <b>scientists</b> to provide exceptional customer support to our internal stakeholders."
837,Partner with Patient <b>Data</b> Management (PDM) Lead on the <b>data</b> requirements gathering process for onboarding new patient support program <b>data</b> sources.
838,"Experience in core <b>data</b> <b>science</b> activities. Experience/Knowledge of Object Oriented Programming Concepts, <b>Data</b> Structures, <b>Data</b> Mining, Machine Learning and AI."
839,"Review, assess <b>data</b>, identify <b>data</b> deficiencies and recommend solutions for remediation. Demonstrated experience in developing and applying quantitative methods…"
840,2+ years experience in <b>Data</b> Warehouse and/or <b>Data</b> Engineering. In Computer <b>Science</b> or related field. Conduct thorough peer review and testing of ETL code to…
841,Drive the collection of new <b>data</b> and the refinement of existing <b>data</b> sources to continually improve <b>data</b> quality. Do you love <b>data</b> as much as we do?
842,"Masters or higher degree in quantitative discipline ( Math, Computer <b>Science</b>, Engineering). Tenaciously keep the <b>Data</b> Pipeline infrastructure (Kafka and…"
843,"Candidates should have an interest in projects emphasizing cloud-hosted solutions and services, <b>data</b> <b>science</b> and ingestion technologies, and modern web…"
844,"Have expert-level working experience (10 years or more) in a <b>data</b> modeling, <b>data</b> analytics and/or <b>data</b> <b>science</b> field of work. Current TS/SCI (top secret SCI)."
845,"Staff Cloud Engineer, Big <b>Data</b> & Messaging. Experience with Cloud based Big <b>Data</b> platforms and/or services. Big <b>Data</b> & Messaging stores, transforms, and manages…"
846,Director of <b>Data</b> Engineering as one of the very first members of our <b>data</b> team. 5+ years of applied <b>data</b> engineering experience.
847,"BS or BA in engineering, geospatial, mathematics or <b>data</b> <b>science</b>. Certified Photogrammetrist, Certified Lidar <b>Scientist</b> or Certified Remote Sensing <b>Scientist</b>."
848,"Strong fundamentals in <b>data</b> structures, algorithms, <b>data</b> modeling. Partner with the engineering team to write code that solves <b>data</b> <b>science</b> problems."
849,"Experience of leading <b>data</b> <b>science</b>, <b>data</b> discovery and machine learning projects. Contributing and influencing development of <b>data</b>, <b>data</b> <b>science</b> and analytics…"
850,"Act as technical advisor in matters of enterprise architecture, creating enterprise <b>data</b> management policy for organization and force structure <b>data</b>, while…"
851,"Industry leadership in the fields of database, <b>data</b> warehousing or <b>data</b> <b>sciences</b>. Leadership and innovation around <b>Data</b> Analytics."
852,"Awareness of best practices in <b>data</b> <b>science</b>. Experience with common <b>data</b> <b>science</b> toolkits, such as R, Weka, NumPy, MatLab, etc."
853,"The successful analyst will work across functions (Fraud & Risk Operations, <b>Data</b> <b>Science</b>, Compliance, Marketing, Product, Finance, etc.)."
854,"§ Manage day to day <b>Data</b> Center IT operations for server, mainframe and network infrastructure. § Bachelor’s degree in Computer <b>Science</b>, or related discipline…"
855,"<b>Data</b> modeling experience including logical and physical <b>data</b> models. Build processes supporting <b>data</b> transformation, <b>data</b> structures, metadata, dependency and…"
856,"Experience documenting ontologies, <b>data</b> models, schemas, formats, <b>data</b> element dictionaries, software application program interfaces and other technical…"
857,"The <b>Data</b> Manager sets up SOPs for <b>data</b> collection sites to provide <b>data</b> capture, and performs quality assurance audits to validate <b>data</b> in preparation for…"
858,"As the Senior <b>Data</b> Quality Analyst, you will collaborate with business and information technology partners to ensure that <b>data</b> meets enterprise <b>data</b> standards…"
859,"Therefore, we are seeking a Research <b>Data</b> Analyst with experience in <b>data</b> management of large population-based <b>data</b> sets. 403126 Research Assistant IV Non-Lab."
860,"Demonstrable experience applying <b>data</b> <b>science</b> techniques preferred (predictive, modeling & analytical) to practical business problems."
861,"Thoroughly understanding of how to handle real-time <b>data</b> integration/Real-time <b>data</b> technologies (e.g., Streams, Kinesis, Kafka)."
862,"<b>Data</b> pipeline integrity, <b>data</b> attribute completeness, <b>data</b> graph activities, <b>data</b> duplication and merges. Passion for <b>data</b> structures, <b>data</b> quality, and data…"
863,Proven capability of building <b>data</b> marts and <b>data</b> solutions. Come join the Intuit <b>Data</b> & Cloud (DAC) Team as a Senior Big <b>Data</b> Engineer.
864,Lead large <b>data</b> <b>science</b> projects solving manufacturing problems. Experience analyzing large and multivariate <b>data</b> sets. Identification of areas for improvement.
865,"Experience with PCI <b>data</b> practices. We're hiring in the Bay Area and Lehi, Utah for product, engineering, DevOps, design, <b>data</b> <b>science</b>, sales, marketing,…"
866,"We are advancing clinical development - through the synthesis of diverse biological <b>data</b>. QuartzBio’s biomarker <b>data</b> management (BDM), sample inventory…"
867,"Technological barriers are slain every day by the best and brightest minds in <b>data</b> <b>science</b> and engineering. OJO Labs - Product Manager, User <b>Data</b> Platform."
868,Proactively assess <b>data</b> center facility requirements. Bachelor’s degree in Computer <b>Science</b> or equivalent experience. Define employee goals and objectives.
869,"Experience with Star, <b>Data</b> Vault, and 3NF <b>data</b> modeling techniques. Leverages substantial experience in <b>Data</b> Modeling, <b>Data</b> Integration, and Business…"
870,Senior <b>Data</b> Architects within the CCB <b>Data</b> Infrastructure focus on <b>Data</b> Management and supporting our Decision <b>Science</b> and Analytics Partners.
871,"The Lead IT <b>Data</b> Engineer is responsible for supporting data-driven capabilities throughout the organization, including areas such as business intelligence,…"
872,"The Lead IT <b>Data</b> Engineer is responsible for supporting data-driven capabilities throughout the organization, including areas such as business intelligence,…"
873,"All <b>data</b> consumption, <b>data</b> driven decision making, and <b>data</b> driven services at Intuit rely on the <b>Data</b> Platform. Drive operational excellence and adoption."
874,1+ year of experience with techniques of performance optimization for both <b>data</b> loading and <b>data</b> retrieval. 10+ yr overall IT experience in Software Development…
875,The <b>Data</b> Engineer will work closely with the <b>Data</b> Services team in helping us move <b>data</b> from all of our various source systems into our Microsoft Azure-based…
876,Load prepared <b>data</b> into temporary or operational ready <b>data</b> structures. Potential opportunities to enhance the existing models built by the <b>data</b> <b>scientists</b>.
877,"Implement <b>data</b> structures using best practices in <b>data</b> modeling, processes, and technologies. This role has the unique opportunity to work creatively with a…"
878,Good understanding of basic <b>data</b> manipulation techniques and <b>data</b> visualization concepts. About Clinical <b>Data</b> Programming Lead at ICON:
879,"Exploration and Discovery of <b>Data</b> sets within the <b>Data</b> Lake. Define Access policies, Security and Cost optimization models for the <b>data</b> in the <b>Data</b> Lake."
880,"§ Manage day to day <b>Data</b> Center IT operations for server, mainframe and network infrastructure. § Bachelor’s degree in Computer <b>Science</b>, or related discipline…"
881,"Build highly scalable <b>data</b> pipelines to handle ingestion and processing of robot, manufacturing, & engineering <b>data</b>. The numbers tell an amazing story."
882,"Extensive experience in collecting and analyzing large quantities of research <b>data</b>, extract pertinent <b>data</b>, analyze and present <b>data</b> effectively."
883,"Ability to work with business <b>data</b> owners to create <b>data</b> quality rules, effective <b>data</b> processes, <b>data</b> policies and technology <b>data</b> flows."
884,"MTSI is seeking a Senior <b>Data</b> Configuration & Management Specialist with experience in projects emphasizing database optimization and security, <b>data</b> <b>science</b> and…"
885,"Graduate degree in industrial engineering, neuroscience, statistics, physics, mathematics, <b>data</b> <b>science</b> or closely related field."
886,"Excellent skills with all things <b>data</b>: Modeling, access management, quality, <b>data</b> pipelines, insights. Build systems that analyze and improve customer data…"
887,The candidate will monitor <b>data</b> loads and fix errors during the load process and perform quality control on ingested <b>data</b>.
888,"Expert understanding of commercial technology and <b>data</b> architecture, including Third Party <b>data</b> providers, commercial <b>data</b> warehousing, <b>data</b> management, ETL…"
889,"Demonstrate efficiency in handling <b>data</b> - tracking <b>data</b> lineage, ensuring <b>data</b> quality, and improving discoverability of <b>data</b>."
890,"The vision of the team is to build products and provide <b>data</b> services that drive <b>data</b> quality and <b>data</b> governance across various <b>data</b> domains (prospect,…"
891,"As our primary users leverage our platform for <b>data</b> <b>science</b> work, any subject matter expertise on <b>data</b> <b>science</b> or machine learning is very useful."
892,"Ability to organize and analyze <b>data</b>. Enrolled as a junior or above in a BS or MS Computer <b>Science</b>, Mathematics, <b>Data</b> Analytics or equivalent academic program."
893,"Current college student in good standing working toward a bachelor’s degree (Business, Communication, Computer <b>Science</b>, <b>Data</b> Management, Graphic Design,…"
894,"Establish and promote best practices for reporting strategies, <b>data</b> visualization, <b>data</b> interpretation and <b>data</b> integrity."
895,The Clinical <b>Data</b> Manager will need to be familiar with CDISC SDTM standards and SAS/Excel <b>Data</b> extracts and <b>data</b> cleaning listings. A minimum of a B.S.
896,"Candidates should have an interest in projects emphasizing cloud-hosted solutions and services, <b>data</b> <b>science</b> and ingestion technologies, and modern web…"
897,Experience supporting <b>data</b> <b>scientist</b> workflows. This <b>data</b> empowers teams of analysts and <b>data</b> <b>scientists</b> to improve our customers' experiences through machine…
898,"Get to know engineering and <b>data</b> teams across Bloomberg, understand their application requirements and <b>data</b> access patterns."
899,Experience building product integrations and partnering with <b>Data</b> <b>Scientists</b> to solve customer problems. You’ll lead and inspire a cross-functional team of…
900,"Collaborate and closely partner with Sales, Marketing, Sales Enablement, Business Systems, Product, Analytics & <b>Data</b> <b>Science</b>, <b>Data</b> Engineering, Legal/Compliance…"
901,"7+ years of experience in <b>data</b> engineering, business intelligence and <b>data</b> <b>science</b>. Hand-on experience with <b>data</b> warehousing, <b>data</b> architecture, modeling, data…"
902,Demonstrated programming skills in other <b>data</b> manipulation and <b>data</b> processing tools and languages such as R and Tableau. Assist in developing department goals.
903,"8 years of design, development, and support of <b>data</b> analysis UI development Satistical methods for <b>data</b> analysis Experience with <b>data</b> platform and visualization…"
904,"8 years of design, development, and support of <b>data</b> analysis UI development Satistical methods for <b>data</b> analysis Experience with <b>data</b> platform and visualization…"
905,The <b>Data</b> Architect will be a central resource for enterprise <b>data</b> and metadata management. The <b>Data</b> Architect will be responsible for constantly monitoring our…
906,Proven experience as a <b>Data</b> <b>Scientist</b> or <b>Data</b> Analyst. Tableau) and <b>data</b> frameworks (e.g. Present information using <b>data</b> visualization techniques.
907,"A Bachelor's degree in computer <b>science</b>, business administration, systems engineering, <b>data</b> <b>science</b>, graphic design, or the equivalent applicable training and…"
908,Should have good knowledge of SQL and should be able to handle <b>data</b> preparation phase without help of <b>Data</b> Engineer.
909,<b>Data</b> <b>Scientist</b> - (1 to 3 years of Professional Experience Required)*. The DXT <b>Data</b> Strategy and Analytics team is seeking a <b>Data</b> <b>Science</b> Consultant (Google…
910,"Experience in <b>data</b> mining, advanced <b>data</b> manipulation, machine learning and statistical analysis. Identifies meaningful insights from large <b>data</b> and metadata…"
911,"This position is in the Office of <b>Data</b> Analytics and Economics (ODAE), which evaluates strategic risks to the System and agency using <b>data</b>, analytics, economic…"
912,Committed to respecting patient <b>data</b> privacy. Practical experience with life <b>science</b> experimentation. Coral was founded upon the principle that the shared…
913,"RAPP LA is looking for a <b>Data</b> <b>Scientist</b>. You have 1-3 years of experience in a <b>data</b> <b>science</b>, <b>data</b> engineering, software engineering or statistics role."
914,At least 12 years of experience with <b>data</b> analysis and development of <b>data</b> sets for functional and performance analytics; This Company Describes Its Culture as:
915,"BS, MS in a field related to <b>Data</b> <b>Science</b>, Computer Engineering, Statistics, Mathematics, or a closely related quantitative is required."
916,"5+ years of <b>Data</b> Science/Analytics industry experience. Experience working with large, multi-dimensional <b>data</b> sets to uncover meaningful insights."
917,"Hope you are doing great! If you are comfortable with the requirement, kindly respond with below information and your updated resume( word format ) ASAP."
918,You enjoy working with programmers and other <b>data</b> <b>scientists</b> to constantly improve the integrity and automation of your work. Running a small business is hard.
919,"The <b>Data</b> <b>Scientist</b> will play a key role in supporting data-informed decision-making, planning, and continuous improvement at UNC-Chapel Hill by generating…"
920,Work collaboratively with <b>data</b> and software engineers to deploy <b>data</b> <b>science</b> models at scale in a. <b>Data</b> <b>scientists</b> have a central role in Kayrros.
921,Proven knowledge of statistical techniques and <b>data</b> <b>science</b> is required. Enable <b>data</b> <b>science</b> change management to track model output and identify how each model…
922,"Techniques in <b>data</b> analysis, <b>data</b> extraction, <b>data</b> mining. Perform <b>data</b> modeling/mapping/mining and Extraction,. SDP and/or Supplier <b>data</b> submissions."
923,We are looking for a <b>Data</b> <b>Scientist</b> who will support the GSESS team with insights gained from analyzing <b>data</b>. Develop custom <b>data</b> models and algorithms to apply…
924,"Work in a cross-disciplinary project team of database specialists, <b>data</b> <b>scientists</b>, and business subject-matter experts. Participation in open source community."
925,"7+ years’ experience in <b>data</b> analytics, <b>data</b>. Big <b>data</b> environments (data warehouse, <b>data</b> lake, Hadoop). Bachelor’s degree in computer <b>science</b>,."
926,"_Seeking a Senior <b>Data</b> <b>Scientist</b> with _*. Market Study, Customer Identification etc*."
927,A track record of performing <b>data</b> <b>science</b>. The <b>Data</b> <b>Science</b> team owns a wide variety of algorithms and models that both power and help us understand our…
928,"<b>Data</b> <b>science</b> methods related to <b>data</b> architecture, <b>data</b> munging, <b>data</b> and feature engineering, and predictive analytics. Suite 3098, Chicago, IL 60604."
929,We are looking for <b>data</b> <b>scientists</b> to staff a team focused on applying AI methodologies to insurance claims handling. In-depth Line of Business knowledge.
930,"The ability to integrate and analyze <b>data</b> from multiple large and complex <b>data</b> sets. A graduate degree in Applied Mathematics, Physical <b>Sciences</b>, Engineering,…"
931,"Identifies and diagnoses <b>data</b> inconsistencies and errors, documents <b>data</b> assumptions, and forages to fill <b>data</b> gaps."
932,Join our small team of talented deep learning <b>data</b> <b>scientists</b> solving challenging technical problems for sophisticated government customers.
933,"Business Analytics, Computer and Information <b>Science</b>, Mathematics. <b>Data</b> Processing Tools including Python (Numpy, Pandas, etc.), Spark, and cloud-based…"
934,"Bachelor's degree in one of the natural <b>sciences</b> or related field. Compiles, writes and evaluates <b>data</b> for publication purposes and submits project results to…"
935,This position will be a hands-on technical lead for <b>data</b> integration (primarily testing the results of <b>data</b> integration activities and advising on data…
936,"Bachelor's or Master’s Degree in Statistics, Math, Computer <b>Science</b>, Management Information Systems, <b>Data</b> Analytics or another quantitative discipline, or…"
937,"Agricultural or plant-science related field of study (Agronomy, Horticulture, Epidemiology, Entomology, Plant Pathology, Weed <b>Science</b>,) with an emphasis on…"
938,This role is within Immunology <b>Data</b> <b>Science</b> on the Translational <b>Data</b> <b>Science</b> (TDS) team. <b>Data</b> <b>science</b> is a critical function within Janssen Immunology…
939,Lead <b>data</b> <b>science</b> projects alongside an established team of <b>data</b> and software engineers. The <b>Data</b> <b>Scientist</b> will be responsible for understanding complex…
940,"Primary responsibilities of the <b>Data</b> <b>Scientist</b> include: Precision Strategies, a leading digital, <b>data</b>, and communications firm, is seeking a stellar data…"
941,"A “Large Database” is defined as one with incomplete <b>data</b>, hundreds of variables and hundreds of thousands of <b>data</b> entries, beyond the data-analysis…"
942,"4+ years of applied <b>data</b> <b>science</b> and/or statistical analysis experience is required. Hands-on <b>data</b> mindset and skillset. R, Python, SAS, SPSS is required."
943,4+ years’ experience analytics or <b>data</b> <b>scientist</b> role. The Field <b>Data</b> <b>Scientist</b> should be business savvy and able to leverage their technical skills (very…
944,"Report life-cycle management, <b>data</b> governance, or meta <b>data</b> management solutions. <b>Data</b> cleansing principles and techniques. Have a solid understanding of:"
945,"Applied <b>data</b> <b>science</b>, AI, <b>data</b> engineering and insights, software engineering, automation, and big <b>data</b>. Associate <b>Data</b> <b>Scientist</b> for Optimization to join our…"
946,"Imagine working in a place where continuous improvement and innovation is celebrated and rewarded; Where fast-paced, high-impact teams come together to…"
947,"Sr <b>Data</b> <b>Scientist</b> - Business Devp 004 - Full-Time, Day - St Vincents Health System - Jacksonville, FL. Leads the organizations planning for the future of the…"
948,"<b>Data</b> <b>Science</b>, User Experience Research, <b>Data</b> Visualization, Business Analysis, and Software Development. ABIS Solutions*, a certified SDVOSB, has an immediate…"
949,"Bachelor of <b>Science</b> degree or higher in Computer <b>Science</b>, Statistics or similar technical discipline, OR at least 5 years of equivalent <b>data</b> <b>science</b> work…"
950,(3+ years in <b>data</b> <b>science</b>/ deep learning). Verb is looking for a <b>Data</b> <b>Scientist</b> to help build the new generation of digital surgery.
951,You love <b>data</b> and <b>data</b> visualization—you love making <b>data</b> actionable for customers. Be the functional owner of the <b>Data</b> <b>Science</b> role.
952, Collaborate with other members of the <b>Data</b> <b>Science</b> team to understand how they consume <b>data</b>;  Develop ETL processes and <b>data</b> pipelines to automate tasks and…
953,"<b>Data</b> modeling and <b>data</b> administration. Experience with <b>data</b> modeling and <b>data</b> administration. Work with the <b>Data</b> Administration, Database and <b>Data</b> Warehouse…"
954,"Gathering, standardizing, and analyzing voluminous transactional electronic <b>data</b>, such as banking records, general ledgers, sales and inventory <b>data</b>, etc.;"
955,"As a <b>Data</b> <b>Scientist</b>, you will.... The Tactical Intelligence Systems Group of the Asymmetric Operations Sector is seeking a <b>Data</b> <b>Scientist</b> to develop cutting…"
956,"You As a <b>data</b> <b>scientist</b> on Pivotal’s <b>Data</b> <b>Science</b> team, you’ll be working on a wide variety of <b>data</b> problems for a diverse range of clients."
957,"Will provide direction to a team of <b>data</b> <b>scientists</b>, <b>data</b> engineers, and technology professionals. Understanding of advanced statistics underlying <b>data</b> models."
958,"10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence. Must be a US citizen."
959,<b>Data</b> <b>Science</b> engineer with eight-plus years of experience. GitHub Profile – A git hub profile with interesting <b>Data</b> <b>Science</b> Machine Learning Project (Not…
960,"Develop & enforce <b>data</b> standards to include <b>data</b> capture, coding schemes, <b>data</b> base designs, <b>data</b> documentation, <b>data</b> dictionary, index & <b>data</b> archiving…"
961,"BA/BS and master’s degree in <b>Data</b> <b>Science</b>, Computer <b>Science</b>, Mathematics, Statistics or similar from a top-tier university. R, SAS) or other methods."
962,Ensure <b>data</b> integrity across various platforms. <b>Data</b> and program integrity are maintained. Provides application and <b>data</b> integrity problem resolution.
963,"Address aspects such as <b>data</b> privacy & security, <b>data</b> ingestion & processing, <b>data</b> storage & compute, analytical & operational consumption, <b>data</b> modeling, data…"
964,"Reproduce issues faced by <b>Data</b> <b>Scientists</b>. 3+ years’ experience with Big <b>Data</b> ( HADOOP platforms) –Hive, Spark ( needs to be currently hands-on on Hadoop…"
965,"<b>Data</b> privacy/protection & Cybersecurity, <b>Data</b> Governance. Operationalize <b>Data</b> Quality Management within the customer <b>data</b> domain."
966,"<b>Data</b> Lineage and <b>Data</b> Quality solutions: Strong knowledge of business processes, information management, <b>data</b> flows, <b>data</b> relationships, and <b>data</b> quality…"
967,"Database architecture and <b>data</b> warehousing. The team is composed of <b>Data</b> Engineers, <b>Data</b> <b>Scientists</b>, and Software Developers working in a state of the art…"
968,"Mentors some junior <b>data</b> <b>science</b> staff. Mentors a team of <b>data</b> <b>science</b> specialists in the collection and analysis of feasibility <b>data</b>, provision of feasibility…"
969,"D) <b>Data</b> <b>Science</b> in Public Policy. Statistics (including Biostatistics) is the <b>science</b> of drawing inferences from <b>data</b>, thus forming a pillar of the emerging…"
970,"The <b>Data</b> <b>Scientist</b> uses a variety of <b>data</b>, analytics, tools, and programming languages. Degree in Business Analytics or <b>Data</b> <b>Science</b>;"
971,Develop custom <b>data</b> models and algorithms to apply to <b>data</b> sets. Assess the effectiveness and accuracy of <b>data</b> sources and <b>data</b> gathering techniques.
972,"Take full responsibility for the <b>data</b> analysis aspects of customer projects, including <b>data</b> design, <b>data</b> mapping, development, documentation, quality assurance,…"
973,"To support this growth, Patreon is looking for a Senior <b>Data</b> <b>Scientist</b>. You are fluent in Python or R and relevant <b>data</b> libraries, and know how to manipulate…"
974,"Classifies <b>data</b> assets according to <b>Data</b> Classification Schema and guidelines; Conducts <b>data</b> protection impact assessments, informs and advises about the risks…"
